datetime,datenum,year,month,day,data_mean_global,data_mean_nh,data_mean_sh
1677-10-15,612801,1677,10,15,275.003581912932,273.839461719869,276.167702105995
1677-11-15,612832,1677,11,15,276.008146973331,275.718717224171,276.297576722492
1677-12-15,612862,1677,12,15,276.645443155049,276.961625043885,276.329261266213
1678-01-15,612893,1678,1,15,277.105917016376,277.785136959705,276.42669707304697
1678-02-15,612924,1678,2,15,277.488981397853,278.441321631939,276.536641163766
1678-03-15,612952,1678,3,15,277.830968794424,279.08391244898604,276.57802513986303
1678-04-15,612983,1678,4,15,278.071671125083,279.618664789643,276.524677460523
1678-05-15,613013,1678,5,15,278.016089356986,279.523139183663,276.50903953031
1678-06-15,613044,1678,6,15,277.28444413862,278.009846713257,276.559041563983
1678-07-15,613074,1678,7,15,275.645627616941,274.72953522333097,276.56172001055097
1678-08-15,613105,1678,8,15,274.043668512113,271.669616318431,276.417720705795
1678-09-15,613136,1678,9,15,274.00411587263903,271.76767861546904,276.240553129809
1678-10-15,613166,1678,10,15,275.04059195207003,273.876471759007,276.20471214513304
1678-11-15,613197,1678,11,15,276.044115029269,275.75468528010896,276.33354477843
1678-12-15,613227,1678,12,15,276.679809187628,276.995991076464,276.363627298792
1679-01-15,613258,1679,1,15,277.138271927217,277.817491870546,276.459051983888
1679-02-15,613289,1679,2,15,277.519067030362,278.47140726444803,276.56672679627496
1679-03-15,613317,1679,3,15,277.858677933786,279.111621588348,276.60573427922503
1679-04-15,613348,1679,4,15,278.09704749826403,279.644041162824,276.55005383370496
1679-05-15,613378,1679,5,15,278.039327632736,279.546377459413,276.53227780606005
1679-06-15,613409,1679,6,15,277.30588992746897,278.031292502106,276.580487352832
1679-07-15,613439,1679,7,15,275.6657774712,274.74968507759,276.58186986481
1679-08-15,613470,1679,8,15,274.063169925877,271.68911773219503,276.437222119559
1679-09-15,613501,1679,9,15,274.02376728178103,271.78733002461104,276.260204538951
1679-10-15,613531,1679,10,15,275.061308651619,273.897188458556,276.225428844682
1679-11-15,613562,1679,11,15,276.066723859184,275.777294110024,276.356153608345
1679-12-15,613592,1679,12,15,276.704970860498,277.021152749333,276.388788971662
1680-01-15,613623,1680,1,15,277.16648084275397,277.845700786083,276.487260899425
1680-02-15,613654,1680,2,15,277.550651275401,278.502991509487,276.598311041315
1680-03-15,613683,1680,3,15,277.893799282287,279.14674293684897,276.64085562772595
1680-04-15,613714,1680,4,15,278.135701411309,279.682695075869,276.588707746749
1680-05-15,613744,1680,5,15,278.081343258531,279.588393085208,276.574293431855
1680-06-15,613775,1680,6,15,277.350930101345,278.07633267598203,276.62552752670797
1680-07-15,613805,1680,7,15,275.71333871561,274.79724632200003,276.62943110922004
1680-08-15,613836,1680,8,15,274.112582450397,271.738530256715,276.486634644079
1680-09-15,613867,1680,9,15,274.07419498311197,271.837757725942,276.31063224028196
1680-10-15,613897,1680,10,15,275.111774032649,273.947653839586,276.275894225712
1680-11-15,613928,1680,11,15,276.116305401867,275.826875652707,276.405735151028
1680-12-15,613958,1680,12,15,276.752898244719,277.069080133554,276.436716355883
1681-01-15,613989,1681,1,15,277.212135626423,277.891355569752,276.53291568309396
1681-02-15,614020,1681,2,15,277.593566894449,278.545907128535,276.641226660362
1681-03-15,614048,1681,3,15,277.933661050669,279.186604705231,276.68071739610804
1681-04-15,614079,1681,4,15,278.172346521002,279.719340185562,276.625352856442
1681-05-15,614109,1681,5,15,278.114760779536,279.621810606213,276.60771095286
1681-06-15,614140,1681,6,15,277.381260981683,278.10666355632003,276.655858407046
1681-07-15,614170,1681,7,15,275.740875781328,274.824783387718,276.656968174938
1681-08-15,614201,1681,8,15,274.137770405563,271.763718211881,276.511822599245
1681-09-15,614232,1681,9,15,274.097630409818,271.861193152648,276.334067666988
1681-10-15,614262,1681,10,15,275.13419152887,273.970071335807,276.298311721933
