dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandAverageTemperaturePlusUncertainty,LandAverageTemperatureMinusUncertainty
1750-01-01,3.0340000000000003,3.574,6.6080000000000005,-0.5399999999999996
1750-02-01,3.083,3.702,6.785,-0.6189999999999998
1750-03-01,5.626,3.076,8.702,2.5500000000000003
1750-04-01,8.49,2.451,10.941,6.039
1750-05-01,11.573,2.072,13.645,9.501000000000001
1750-06-01,12.937,1.724,14.661,11.213
1750-07-01,15.868,1.911,17.779,13.957
1750-08-01,14.75,2.231,16.981,12.519
1750-09-01,11.412999999999998,2.637,14.049999999999999,8.775999999999998
1750-10-01,6.366999999999999,2.668,9.035,3.698999999999999
1750-11-01,8.719363636363637,2.6378181818181816,11.357181818181818,6.081545454545456
1750-12-01,2.772,2.97,5.742,-0.1980000000000004
1751-01-01,2.495,3.469,5.964,-0.9739999999999998
1751-02-01,0.963,3.827,4.79,-2.864
1751-03-01,5.8,3.051,8.850999999999999,2.7489999999999997
1751-04-01,7.67,2.3680000000000003,10.038,5.302
1751-05-01,7.9761428571428565,2.781142857142857,10.757285714285715,5.194999999999999
1751-06-01,13.827,1.801,15.628,12.026
1751-07-01,7.9761428571428565,2.781142857142857,10.757285714285715,5.194999999999999
1751-08-01,14.405,2.296,16.701,12.109
1751-09-01,10.673,2.656,13.329,8.017
1751-10-01,7.9761428571428565,2.781142857142857,10.757285714285715,5.194999999999999
1751-11-01,7.9761428571428565,2.781142857142857,10.757285714285715,5.194999999999999
1751-12-01,7.9761428571428565,2.781142857142857,10.757285714285715,5.194999999999999
1752-01-01,0.3480000000000003,3.7889999999999997,4.1370000000000005,-3.4409999999999994
1752-02-01,5.7798333333333325,2.977,8.756833333333333,2.8028333333333326
1752-03-01,5.806,3.1919999999999997,8.998,2.6140000000000003
1752-04-01,8.264999999999999,2.398,10.662999999999998,5.866999999999999
1752-05-01,5.7798333333333325,2.977,8.756833333333333,2.8028333333333326
1752-06-01,5.7798333333333325,2.977,8.756833333333333,2.8028333333333326
1752-07-01,5.7798333333333325,2.977,8.756833333333333,2.8028333333333326
1752-08-01,5.7798333333333325,2.977,8.756833333333333,2.8028333333333326
1752-09-01,5.7798333333333325,2.977,8.756833333333333,2.8028333333333326
1752-10-01,7.838999999999999,2.7539999999999996,10.592999999999998,5.084999999999999
1752-11-01,7.335,2.747,10.082,4.588
1752-12-01,5.086,2.9819999999999998,8.068,2.1040000000000005
1753-01-01,2.039,3.478,5.517,-1.439
1753-02-01,0.7149999999999999,6.341,7.056,-5.626
