,dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
0,1750-01-01,3.0340000000000003,3.574,,,,,,
1,1750-02-01,3.083,3.702,,,,,,
2,1750-03-01,5.626,3.076,,,,,,
3,1750-04-01,8.49,2.451,,,,,,
4,1750-05-01,11.573,2.072,,,,,,
5,1750-06-01,12.937,1.724,,,,,,
6,1750-07-01,15.868,1.911,,,,,,
7,1750-08-01,14.75,2.231,,,,,,
8,1750-09-01,11.412999999999998,2.637,,,,,,
9,1750-10-01,6.366999999999999,2.668,,,,,,
10,1750-11-01,,,,,,,,
11,1750-12-01,2.772,2.97,,,,,,
12,1751-01-01,2.495,3.469,,,,,,
13,1751-02-01,0.963,3.827,,,,,,
14,1751-03-01,5.8,3.051,,,,,,
15,1751-04-01,7.67,2.3680000000000003,,,,,,
16,1751-05-01,,,,,,,,
17,1751-06-01,13.827,1.801,,,,,,
18,1751-07-01,,,,,,,,
19,1751-08-01,14.405,2.296,,,,,,
20,1751-09-01,10.673,2.656,,,,,,
21,1751-10-01,,,,,,,,
22,1751-11-01,,,,,,,,
23,1751-12-01,,,,,,,,
24,1752-01-01,0.3480000000000003,3.7889999999999997,,,,,,
25,1752-02-01,,,,,,,,
26,1752-03-01,5.806,3.1919999999999997,,,,,,
27,1752-04-01,8.264999999999999,2.398,,,,,,
28,1752-05-01,,,,,,,,
29,1752-06-01,,,,,,,,
30,1752-07-01,,,,,,,,
31,1752-08-01,,,,,,,,
32,1752-09-01,,,,,,,,
33,1752-10-01,7.838999999999999,2.7539999999999996,,,,,,
34,1752-11-01,7.335,2.747,,,,,,
35,1752-12-01,5.086,2.9819999999999998,,,,,,
36,1753-01-01,2.039,3.478,,,,,,
37,1753-02-01,0.7149999999999999,6.341,,,,,,
38,1753-03-01,5.424,2.929,,,,,,
39,1753-04-01,8.272,3.177,,,,,,
40,1753-05-01,12.186,3.111,,,,,,
41,1753-06-01,14.585,2.59,,,,,,
42,1753-07-01,15.092,1.929,,,,,,
43,1753-08-01,14.148,2.4530000000000003,,,,,,
44,1753-09-01,13.322,2.5380000000000003,,,,,,
45,1753-10-01,8.962,2.585,,,,,,
46,1753-11-01,5.353,2.807,,,,,,
47,1753-12-01,0.5589999999999997,4.1739999999999995,,,,,,
48,1754-01-01,1.574,5.02,,,,,,
49,1754-02-01,-1.2489999999999997,7.492000000000001,,,,,,
50,1754-03-01,3.677,3.3360000000000003,,,,,,
51,1754-04-01,11.61,3.293,,,,,,
52,1754-05-01,11.936,3.937,,,,,,
53,1754-06-01,14.388,3.366,,,,,,
54,1754-07-01,14.681,2.401,,,,,,
55,1754-08-01,13.556,1.892,,,,,,
56,1754-09-01,11.129,2.318,,,,,,
57,1754-10-01,9.582,2.529,,,,,,
58,1754-11-01,6.1610000000000005,3.048,,,,,,
59,1754-12-01,4.587,3.299,,,,,,
60,1755-01-01,1.067,4.6930000000000005,,,,,,
61,1755-02-01,-0.1080000000000001,5.857,,,,,,
62,1755-03-01,3.607,3.909,,,,,,
63,1755-04-01,9.263,3.372,,,,,,
64,1755-05-01,12.880999999999998,4.151,,,,,,
65,1755-06-01,15.38,5.322,,,,,,
66,1755-07-01,14.397,1.936,,,,,,
67,1755-08-01,13.515,2.381,,,,,,
68,1755-09-01,11.773,3.4160000000000004,,,,,,
69,1755-10-01,9.97,3.931,,,,,,
70,1755-11-01,5.957999999999998,4.021,,,,,,
71,1755-12-01,2.564,3.215,,,,,,
72,1756-01-01,3.887,3.513,,,,,,
73,1756-02-01,5.666,4.265,,,,,,
74,1756-03-01,4.192,5.574,,,,,,
75,1756-04-01,10.042,3.752,,,,,,
76,1756-05-01,14.163999999999998,2.608,,,,,,
77,1756-06-01,14.547,3.213,,,,,,
78,1756-07-01,13.906,2.1919999999999997,,,,,,
79,1756-08-01,13.437,2.175,,,,,,
80,1756-09-01,12.652,2.9539999999999997,,,,,,
81,1756-10-01,7.3119999999999985,2.201,,,,,,
82,1756-11-01,4.225,2.86,,,,,,
83,1756-12-01,2.165,3.841,,,,,,
84,1757-01-01,-0.27600000000000025,4.022,,,,,,
85,1757-02-01,3.7039999999999997,4.261,,,,,,
86,1757-03-01,4.529,3.638,,,,,,
87,1757-04-01,8.245999999999999,4.303999999999999,,,,,,
88,1757-05-01,13.039,4.98,,,,,,
89,1757-06-01,17.115,4.59,,,,,,
90,1757-07-01,17.61,4.322,,,,,,
91,1757-08-01,17.91,4.035,,,,,,
92,1757-09-01,14.852,3.1889999999999996,,,,,,
93,1757-10-01,6.4819999999999975,3.173,,,,,,
94,1757-11-01,4.032,2.6430000000000002,,,,,,
95,1757-12-01,1.0210000000000004,5.155,,,,,,
96,1758-01-01,-1.5029999999999997,7.349,,,,,,
97,1758-02-01,0.8059999999999999,3.753,,,,,,
98,1758-03-01,3.765,3.3680000000000003,,,,,,
99,1758-04-01,7.209999999999999,2.986,,,,,,
100,1758-05-01,9.715,3.091,,,,,,
101,1758-06-01,13.139,2.055,,,,,,
102,1758-07-01,13.847,3.608,,,,,,
103,1758-08-01,11.818,2.9789999999999996,,,,,,
104,1758-09-01,10.027999999999999,2.347,,,,,,
105,1758-10-01,1.8939999999999992,2.332,,,,,,
106,1758-11-01,6.955,3.2430000000000003,,,,,,
107,1758-12-01,3.2489999999999997,3.2439999999999998,,,,,,
108,1759-01-01,5.0139999999999985,3.673,,,,,,
109,1759-02-01,4.082,5.966,,,,,,
110,1759-03-01,4.52,3.958,,,,,,
111,1759-04-01,5.983,3.159,,,,,,
112,1759-05-01,10.189,2.503,,,,,,
113,1759-06-01,13.512,2.2319999999999998,,,,,,
114,1759-07-01,12.526,2.65,,,,,,
115,1759-08-01,14.587,5.626,,,,,,
116,1759-09-01,12.626,3.235,,,,,,
117,1759-10-01,8.267000000000001,2.983,,,,,,
118,1759-11-01,4.268000000000002,3.167,,,,,,
119,1759-12-01,0.2469999999999999,4.995,,,,,,
120,1760-01-01,-0.8109999999999999,4.567,,,,,,
121,1760-02-01,2.436,3.535,,,,,,
122,1760-03-01,1.864,4.666,,,,,,
123,1760-04-01,7.435999999999999,2.6689999999999996,,,,,,
124,1760-05-01,10.661,1.857,,,,,,
125,1760-06-01,11.945,2.14,,,,,,
126,1760-07-01,12.887,2.5669999999999997,,,,,,
127,1760-08-01,13.917,2.7889999999999997,,,,,,
128,1760-09-01,11.197,3.865,,,,,,
129,1760-10-01,6.7010000000000005,3.4219999999999997,,,,,,
130,1760-11-01,5.436,2.3480000000000003,,,,,,
131,1760-12-01,2.553,2.642,,,,,,
132,1761-01-01,0.6000000000000001,4.779,,,,,,
133,1761-02-01,2.735,3.775,,,,,,
134,1761-03-01,5.976,3.225,,,,,,
135,1761-04-01,7.3210000000000015,1.652,,,,,,
136,1761-05-01,13.450999999999999,1.709,,,,,,
137,1761-06-01,16.820999999999998,3.1660000000000004,,,,,,
138,1761-07-01,19.021,2.696,,,,,,
139,1761-08-01,15.331,2.013,,,,,,
140,1761-09-01,12.534999999999998,4.075,,,,,,
141,1761-10-01,7.2269999999999985,3.932,,,,,,
142,1761-11-01,5.089,2.248,,,,,,
143,1761-12-01,-0.8370000000000002,4.468,,,,,,
144,1762-01-01,6.8660000000000005,3.7760000000000002,,,,,,
145,1762-02-01,4.801,7.88,,,,,,
146,1762-03-01,3.5280000000000005,4.138999999999999,,,,,,
147,1762-04-01,9.019,2.199,,,,,,
148,1762-05-01,10.880999999999998,3.0439999999999996,,,,,,
149,1762-06-01,13.499,3.3110000000000004,,,,,,
150,1762-07-01,14.72,1.966,,,,,,
151,1762-08-01,13.992,3.3289999999999997,,,,,,
152,1762-09-01,10.325999999999999,3.2260000000000004,,,,,,
153,1762-10-01,6.1560000000000015,2.8789999999999996,,,,,,
154,1762-11-01,6.367000000000001,3.3539999999999996,,,,,,
155,1762-12-01,3.123,3.188,,,,,,
156,1763-01-01,1.3690000000000002,6.415,,,,,,
157,1763-02-01,0.7709999999999999,4.102,,,,,,
158,1763-03-01,1.5760000000000003,4.635,,,,,,
159,1763-04-01,7.870999999999999,2.275,,,,,,
160,1763-05-01,10.700999999999999,2.736,,,,,,
161,1763-06-01,12.270999999999999,2.224,,,,,,
162,1763-07-01,16.391,1.754,,,,,,
163,1763-08-01,14.126,2.157,,,,,,
164,1763-09-01,11.378,2.827,,,,,,
165,1763-10-01,5.535,2.9610000000000003,,,,,,
166,1763-11-01,4.588,2.08,,,,,,
167,1763-12-01,3.384,3.653,,,,,,
168,1764-01-01,1.741,3.628,,,,,,
169,1764-02-01,6.162000000000001,2.8680000000000003,,,,,,
170,1764-03-01,5.521,2.488,,,,,,
171,1764-04-01,7.879999999999999,3.159,,,,,,
172,1764-05-01,11.175,4.55,,,,,,
173,1764-06-01,11.722999999999999,1.7069999999999999,,,,,,
174,1764-07-01,12.507,3.2560000000000002,,,,,,
175,1764-08-01,12.282,1.2590000000000001,,,,,,
176,1764-09-01,10.696,2.2359999999999998,,,,,,
177,1764-10-01,10.011,2.515,,,,,,
178,1764-11-01,5.791,2.8280000000000003,,,,,,
179,1764-12-01,5.315,2.8089999999999997,,,,,,
180,1765-01-01,3.78,4.928,,,,,,
181,1765-02-01,3.832,3.156,,,,,,
182,1765-03-01,6.859,2.4419999999999997,,,,,,
183,1765-04-01,9.013,1.4480000000000002,,,,,,
184,1765-05-01,10.734000000000002,1.9280000000000002,,,,,,
185,1765-06-01,10.832999999999998,1.453,,,,,,
186,1765-07-01,13.953,2.375,,,,,,
187,1765-08-01,13.12,1.8719999999999999,,,,,,
188,1765-09-01,10.993,1.705,,,,,,
189,1765-10-01,7.904,1.5330000000000001,,,,,,
190,1765-11-01,5.603,3.737,,,,,,
191,1765-12-01,2.399,2.556,,,,,,
192,1766-01-01,-0.7930000000000001,4.766,,,,,,
193,1766-02-01,4.896,3.741,,,,,,
194,1766-03-01,6.062,2.802,,,,,,
195,1766-04-01,8.007,2.084,,,,,,
196,1766-05-01,11.228,1.555,,,,,,
197,1766-06-01,13.652999999999999,3.745,,,,,,
198,1766-07-01,13.555,2.3409999999999997,,,,,,
199,1766-08-01,13.758,2.5980000000000003,,,,,,
200,1766-09-01,12.25,2.855,,,,,,
201,1766-10-01,8.465,1.4909999999999999,,,,,,
202,1766-11-01,7.4540000000000015,3.7739999999999996,,,,,,
203,1766-12-01,2.333,2.278,,,,,,
204,1767-01-01,-0.6430000000000002,5.6560000000000015,,,,,,
205,1767-02-01,3.932,4.973,,,,,,
206,1767-03-01,7.022,4.418,,,,,,
207,1767-04-01,6.278,3.557,,,,,,
208,1767-05-01,10.193,1.501,,,,,,
209,1767-06-01,14.112,1.426,,,,,,
210,1767-07-01,13.361,2.559,,,,,,
211,1767-08-01,14.597,1.466,,,,,,
212,1767-09-01,11.675,2.313,,,,,,
213,1767-10-01,9.027,1.611,,,,,,
214,1767-11-01,7.915,3.775,,,,,,
215,1767-12-01,1.189,2.2969999999999997,,,,,,
216,1768-01-01,-2.08,3.0269999999999997,,,,,,
217,1768-02-01,0.5060000000000002,3.04,,,,,,
218,1768-03-01,2.446,2.157,,,,,,
219,1768-04-01,6.92,1.84,,,,,,
220,1768-05-01,9.066,2.4330000000000003,,,,,,
221,1768-06-01,12.489999999999998,1.729,,,,,,
222,1768-07-01,13.875,2.552,,,,,,
223,1768-08-01,12.352,2.046,,,,,,
224,1768-09-01,10.824000000000002,1.504,,,,,,
225,1768-10-01,7.728999999999999,2.5580000000000003,,,,,,
226,1768-11-01,4.581,2.02,,,,,,
227,1768-12-01,2.667,2.286,,,,,,
228,1769-01-01,2.305,3.76,,,,,,
229,1769-02-01,2.164,2.5269999999999997,,,,,,
230,1769-03-01,4.57,2.225,,,,,,
231,1769-04-01,8.966999999999997,3.105,,,,,,
232,1769-05-01,12.873,1.7530000000000001,,,,,,
233,1769-06-01,15.142,1.7269999999999999,,,,,,
234,1769-07-01,14.461,3.6689999999999996,,,,,,
235,1769-08-01,13.494000000000002,1.604,,,,,,
236,1769-09-01,11.25,1.598,,,,,,
237,1769-10-01,5.296999999999999,2.395,,,,,,
238,1769-11-01,2.79,2.267,,,,,,
239,1769-12-01,-0.9780000000000002,2.291,,,,,,
240,1770-01-01,1.974,4.275,,,,,,
241,1770-02-01,4.105,4.129,,,,,,
242,1770-03-01,1.612,2.276,,,,,,
243,1770-04-01,9.788,3.516,,,,,,
244,1770-05-01,9.996,1.27,,,,,,
245,1770-06-01,11.884,3.395,,,,,,
246,1770-07-01,11.621,2.658,,,,,,
247,1770-08-01,11.413,3.14,,,,,,
248,1770-09-01,10.724,1.51,,,,,,
249,1770-10-01,8.661,1.6030000000000002,,,,,,
